sn,question,optionA,optionB,optionC,optionD,answer
1,A relation is in BCNF if for every functional dependency X → Y:,X is a candidate key,Y is a primary key,X is a foreign key,Y is a candidate key,A
2,Which of the following is TRUE about a superkey?,It must be minimal,It always contains only one attribute,It uniquely identifies a tuple but may not be minimal,It is always the primary key,C
3,A functional dependency X → Y is trivial if:,X and Y are unrelated,Y is a subset of X,X is a subset of Y,X and Y are both primary keys,B
4,Which of the following anomalies does normalization help eliminate?,Syntax anomaly,Insertion, deletion, and update anomalies,Hardware anomalies,Network anomalies,B
5,In a student table: StudentID → Name, StudentID → CourseID, CourseID → CourseName. CourseName is dependent on StudentID through CourseID. This is an example of:,Partial dependency,Full dependency,Transitive dependency,Multivalued dependency,C
6,If a table has only a single-column primary key, it is automatically in:,1NF only,2NF (assuming it's in 1NF),3NF,BCNF,B
7,Which of the following is the correct hierarchy of keys from broadest to narrowest?,Candidate Key → Super Key → Primary Key,Super Key → Candidate Key → Primary Key,Primary Key → Candidate Key → Super Key,Foreign Key → Primary Key → Candidate Key,B
8,A relation R(A, B, C, D) has functional dependencies: A→B, B→C, C→D. What is the candidate key?,B,C,A,D,C
9,What is a lossless join decomposition?,Splitting a table without losing any data or introducing spurious tuples,Losing some records during decomposition,Joining two unrelated tables,A type of normalization error,A
10,Which of the following is NOT a property of a relation (table) in relational model?,Each cell contains exactly one value,All values in a column are of the same domain,Rows can be duplicated,Order of rows does not matter,C
11,A composite key is:,A key made up of two or more attributes to uniquely identify a record,A key that references another table,Always a foreign key,A key with NULL values,A
12,The concept of data abstraction in DBMS includes how many levels?,2,3,4,5,B
13,The three levels of data abstraction in DBMS are:,Physical, Logical, View,Internal, External, Conceptual,Both A and B describe the same levels,Input, Process, Output,C
14,Which level of data abstraction describes WHAT data is stored?,Physical level,View level,Conceptual level,External level,C
15,A database transaction must follow ACID properties. ACID stands for:,Atomicity, Consistency, Isolation, Durability,Accuracy, Consistency, Integration, Durability,Atomicity, Correctness, Isolation, Distribution,Accuracy, Concurrency, Isolation, Data,A
16,Atomicity in a transaction means:,Transactions are small,Either all operations complete or none do,Data is accurate,Multiple users can access simultaneously,B
17,Which of the following is an example of a metadata?,Student names stored in a table,The structure/schema of the database (data about data),The backup of the database,The password of the database,B
18,In ER diagram, a diamond shape represents:,Entity,Attribute,Relationship,Primary key,C
19,In ER diagram, a rectangle represents:,Relationship,Attribute,Entity,Key,C
20,A weak entity in ER diagram:,Has its own primary key,Cannot exist without depending on another entity,Has more attributes than a strong entity,Is represented by a diamond,B
21,The degree of a relation refers to:,Number of rows,Number of columns (attributes),Number of primary keys,Number of foreign keys,B
22,The cardinality of a relation refers to:,Number of columns,Number of primary keys,Number of rows (tuples),Number of foreign keys,C
23,Which of the following JOIN returns all records from both tables regardless of match?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,D
24,A view in SQL is:,A permanent physical table,A virtual table based on a SELECT query,A backup of a table,A type of index,B
25,Which of the following is a DDL statement used to modify an existing table structure?,UPDATE,MODIFY,ALTER,CHANGE,C
26,Referential integrity means:,Data is accurate,A foreign key must reference an existing primary key value,All keys are indexed,Tables are normalized,B
27,Which SQL command is used to grant privileges to a user?,ALLOW,PERMIT,GRANT,AUTHORIZE,C
28,The SQL command to remove privileges from a user is:,REMOVE,DELETE,REVOKE,CANCEL,C
29,An index in a database is used to:,Normalize the database,Speed up data retrieval,Backup data,Encrypt data,B
30,Which of the following best describes a data warehouse?,A small operational database,A large repository of historical data used for analysis and reporting,A backup database,A type of DBMS,B
